[2023-09-21 08:46:51] Hello DK////
[2023-09-21 08:46:51] pressureSensor - id: 1, pressureSensor: 1-1
[2023-09-21 15:21:14] DisplacementSensor - id: 2, describer: 5-2
[2023-09-21 15:21:14] TDCPhaseSensor - id: 1, describer: 6-1
[2023-09-21 15:21:14] TDCPhaseSensor - id: 2, describer: 6-2
[2023-09-21 16:10:38] Hello DK////
[2023-09-21 16:10:38] pressureSensor - id: 1, describer: 1-1
[2023-09-21 16:10:38] pressureSensor - id: 2, describer: 1-2
[2023-09-21 16:10:38] temperatureSensor - id: 1, describer: 2-1
[2023-09-21 16:10:38] temperatureSensor - id: 2, describer: 2-2
[2023-09-21 16:10:38] VibrationVelocitySensor - id: 1, describer: 3-1
[2023-09-21 16:10:38] VibrationVelocitySensor - id: 2, describer: 4-1
[2023-09-21 16:10:38] VibrationAccelerationSensor - id: 2, describer: 4-1
[2023-09-21 16:10:38] VibrationAccelerationSensor - id: 3, describer: 4-2
[2023-09-21 16:10:38] DisplacementSensor - id: 1, describer: 5-1
[2023-09-21 16:10:38] DisplacementSensor - id: 2, describer: 5-2
[2023-09-21 16:10:38] TDCPhaseSensor - id: 1, describer: 6-1
[2023-09-21 16:10:38] TDCPhaseSensor - id: 2, describer: 6-2
[2023-09-21 16:32:49] Hello DK////
[2023-09-21 16:32:49] pressureSensor - id: 1, describer: 1-1
[2023-09-21 16:32:49] pressureSensor - id: 2, describer: 1-2
[2023-09-21 16:32:49] temperatureSensor - id: 1, describer: 2-1
[2023-09-21 16:32:49] temperatureSensor - id: 2, describer: 2-2
[2023-09-21 16:32:49] VibrationVelocitySensor - id: 1, describer: 3-1
[2023-09-21 16:32:49] VibrationVelocitySensor - id: 2, describer: 4-1
[2023-09-21 16:32:49] VibrationAccelerationSensor - id: 2, describer: 4-1
[2023-09-21 16:32:49] VibrationAccelerationSensor - id: 3, describer: 4-2
[2023-09-21 16:32:49] DisplacementSensor - id: 1, describer: 5-1
[2023-09-21 16:32:49] DisplacementSensor - id: 2, describer: 5-2
[2023-09-21 16:32:49] TDCPhaseSensor - id: 1, describer: 6-1
[2023-09-21 16:32:49] TDCPhaseSensor - id: 2, describer: 6-2
